floor,floors_count,rooms_count,total_meters,price,underground,price_per_meter
26,41,2,46.0,20950000,True,455435
11,12,1,33.5,8000000,True,238806
9,12,2,88.0,59350000,True,674432
4,7,1,31.1,6000000,True,192926
4,20,2,64.29,24166611,True,375900
1,8,2,48.3,8650000,True,179089
3,12,2,37.0,9500000,True,256757
4,4,2,55.3,6990000,True,126401
8,29,2,69.1,31095000,True,450000
17,25,1,36.8,9900000,True,269022
4,4,1,31.9,4000000,False,125392
2,16,2,64.3,6751500,False,105000
10,32,2,64.4,51000000,True,791925
4,16,2,37.0,19000000,True,513514
16,41,2,51.0,34000000,True,666667
3,24,2,53.2,19570000,True,367857
2,16,1,37.9,5306000,False,140000
6,42,1,42.0,29000000,True,690476
4,4,1,42.7,5590000,True,130913
3,8,2,76.9,23000000,False,299090
5,6,2,43.0,26900000,True,625581
10,14,2,56.7,22232323,True,392104
8,22,1,40.0,13290000,True,332250
2,18,2,49.5,7730000,True,156162
9,20,2,59.0,25370000,True,430000
4,17,2,74.0,17300000,True,233784
19,25,2,38.54,5140000,False,133368
6,9,2,75.0,64900000,True,865333
5,17,2,60.0,18550000,True,309167
2,8,1,70.3,16000000,False,227596
9,40,1,41.5,32000000,True,771084
14,16,2,50.5,14000000,True,277228
24,24,2,58.0,37490000,True,646379
7,12,2,55.0,13400000,False,243636
4,9,2,43.1,29500000,True,684455
2,7,2,55.0,8899000,False,161800
3,18,1,34.1,5901000,True,173050
7,15,2,46.5,23900000,True,513978
14,24,2,53.3,9160000,False,171857
39,41,2,56.9,40000000,True,702988
6,23,2,52.3,6892000,True,131778
9,12,2,53.34,39975000,True,749438
4,6,1,35.1,23000000,True,655271
15,19,2,42.1,8129999,False,193112
9,12,2,79.8,48000000,True,601504
24,25,1,33.37,4110000,False,123165
13,41,1,41.5,31000000,True,746988
22,28,2,48.1,11409000,True,237193
10,10,1,38.5,11280000,True,292987
2,12,2,52.68,6460000,False,122627
4,24,2,57.34,6375061,False,111180
37,37,2,48.0,42500000,True,885417
2,9,2,37.4,14490000,True,387433
3,21,2,72.09,19803495,True,274705
21,25,2,33.84,5924907,True,175086
2,21,2,71.9,65000000,True,904033
10,17,1,45.0,13900000,True,308889
18,23,1,32.7,4804000,True,146911
6,10,1,31.7,7280000,False,229653
23,25,2,38.68,5440000,False,140641
11,14,1,35.0,13900000,True,397143
2,9,2,40.15,5230000,False,130262
9,32,2,62.7,49800000,True,794258
3,14,1,39.0,9300000,True,238462
4,13,1,47.1,8379202,False,177902
7,17,2,60.3,13100000,True,217247
3,14,1,43.5,12000000,True,275862
17,25,2,40.82,6370000,False,156051
59,85,2,90.3,75000000,True,830565
2,9,1,31.8,12190000,True,383333
2,29,1,34.6,8557000,True,247312
5,9,2,45.0,15990000,True,355333
18,24,2,58.8,16220000,True,275850
3,16,2,78.1,30792000,True,394264
10,41,2,47.4,41000000,True,864979
5,13,2,59.8,16350000,True,273411
2,24,1,40.58,5264038,False,129720
9,9,1,36.9,8850000,True,239837
16,19,2,45.8,32000000,True,698690
4,9,1,32.44,5122600,True,157910
7,8,2,70.0,27000000,False,385714
5,9,2,65.0,33000000,False,507692
13,19,2,51.8,7594000,True,146602
6,6,2,65.8,46999999,True,714286
19,23,1,36.4,8800000,True,241758
10,24,1,45.8,15809922,True,345195
15,28,2,64.5,49000000,True,759690
21,24,2,52.4,34900000,True,666031
11,15,1,36.3,8200000,True,225895
24,25,1,30.41,4390000,False,144360
24,24,2,57.4,37480000,True,652962
2,3,2,50.0,11200000,False,224000
6,9,1,40.6,5310000,False,130788
5,24,2,75.0,48000000,True,640000
9,9,2,50.0,17500000,True,350000
21,25,1,37.39,5565839,False,148859
4,14,2,57.7,15290500,True,265000
24,25,2,56.9,10454400,True,183733
5,10,1,40.4,28900000,True,715347
11,16,2,47.1,6579206,True,139686
2,10,2,69.56,22259200,False,320000
5,14,2,73.1,65520000,True,896306
2,14,2,65.8,9343600,False,142000
4,24,1,40.4,10247000,True,253639
9,14,2,77.0,62000000,True,805195
3,17,1,38.0,13700000,True,360526
2,16,1,55.9,21462000,True,383936
26,41,2,50.0,34000000,True,680000
22,22,1,15.8,7890000,True,499367
3,5,2,67.2,28500000,True,424107
3,9,2,44.0,15500000,True,352273
5,13,1,36.62,9200000,True,251229
2,25,1,30.4,6288000,True,206842
23,26,1,37.0,10000000,False,270270
3,6,2,45.4,5902000,False,130000
25,45,1,64.0,40999999,True,640625
12,12,1,39.1,12600000,True,322251
3,9,2,37.0,13199000,True,356730
13,33,2,40.0,17900000,True,447500
2,17,2,52.68,6460000,False,122627
2,9,2,73.9,25839000,True,349648
7,20,1,43.09,20252300,True,470000
3,16,1,35.8,5634818,True,157397
13,47,2,51.0,32950000,True,646078
3,5,1,31.0,18500000,True,596774
25,25,1,37.2,8027100,True,215782
